event_id,timestamp,developer_id,activity_type,language,duration_seconds
IDE01108,2026-08-01 09:00:00,DEV320,idle,SQL,1093
IDE07803,2026-08-01 09:01:00,DEV439,coding,JavaScript,1293
IDE09627,2026-08-01 09:01:00,DEV342,file_open,TypeScript,1718
IDE02864,2026-08-01 09:03:00,DEV047,idle,TypeScript,909
IDE04148,2026-08-01 09:10:00,DEV461,terminal,SQL,821
IDE05574,2026-08-01 09:10:00,DEV018,idle,Java,96
IDE02057,2026-08-01 09:11:00,DEV248,coding,Java,1088
IDE08608,2026-08-01 09:11:00,DEV210,coding,JavaScript,1159
IDE03635,2026-08-01 09:14:00,DEV189,terminal,TypeScript,296
IDE01791,2026-08-01 09:15:00,DEV067,file_open,Python,804
IDE01692,2026-08-01 09:16:00,DEV324,idle,SQL,1315
IDE08242,2026-08-01 09:20:00,DEV282,debugging,TypeScript,315
IDE06772,2026-08-01 09:21:00,DEV485,file_open,Python,520
IDE03066,2026-08-01 09:27:00,DEV161,terminal,JavaScript,1385
IDE05663,2026-08-01 09:31:00,DEV185,debugging,JavaScript,1582
IDE09214,2026-08-01 09:31:00,DEV001,idle,Python,1585
IDE09990,2026-08-01 09:31:00,DEV338,file_open,SQL,1424
IDE00437,2026-08-01 09:33:00,DEV061,file_open,Java,1696
IDE01437,2026-08-01 09:33:00,DEV225,debugging,TypeScript,1057
IDE09560,2026-08-01 09:34:00,DEV351,debugging,Python,529
IDE01366,2026-08-01 09:36:00,DEV041,coding,Python,1794
IDE00964,2026-08-01 09:37:00,DEV108,testing,TypeScript,1120
IDE03263,2026-08-01 09:38:00,DEV060,idle,Python,290
IDE00169,2026-08-01 09:45:00,DEV465,file_open,Java,475
IDE09447,2026-08-01 09:45:00,DEV290,file_open,TypeScript,1399
IDE00786,2026-08-01 09:46:00,DEV466,debugging,JavaScript,1230
IDE02431,2026-08-01 09:53:00,DEV363,debugging,SQL,410
IDE04276,2026-08-01 09:56:00,DEV354,terminal,SQL,567
IDE05994,2026-08-01 09:56:00,DEV006,idle,JavaScript,410
IDE01569,2026-08-01 09:57:00,DEV230,coding,SQL,747
IDE09103,2026-08-01 09:59:00,DEV473,terminal,TypeScript,1583
IDE02600,2026-08-01 10:03:00,DEV493,idle,Java,1601
IDE06836,2026-08-01 10:04:00,DEV343,testing,SQL,249
IDE05155,2026-08-01 10:06:00,DEV339,file_open,Java,125
IDE08225,2026-08-01 10:06:00,DEV121,coding,Java,909
IDE09494,2026-08-01 10:06:00,DEV317,coding,SQL,345
IDE00192,2026-08-01 10:09:00,DEV354,idle,Java,117
IDE03182,2026-08-01 10:11:00,DEV141,file_open,Python,70
IDE08137,2026-08-01 10:11:00,DEV021,idle,SQL,1070
IDE06534,2026-08-01 10:16:00,DEV169,idle,JavaScript,787
IDE09722,2026-08-01 10:16:00,DEV192,file_open,SQL,1043
IDE09136,2026-08-01 10:17:00,DEV461,terminal,Java,1751
IDE06157,2026-08-01 10:19:00,DEV213,file_open,TypeScript,1308
IDE08843,2026-08-01 10:23:00,DEV127,idle,SQL,1568
