event_id,timestamp,developer_id,issue_key,issue_type,status,priority,event_type
JR0299,2026-08-01 09:54:00,DEV007,COGNI-935,Improvement,Code Review,Critical,issue_updated
JR0189,2026-08-01 10:04:00,DEV009,COGNI-210,Improvement,To Do,Low,issue_created
JR0405,2026-08-01 10:38:00,DEV004,DEVOPS-915,Story,To Do,Critical,status_changed
JR0153,2026-08-01 11:21:00,DEV001,COGNI-548,Story,Code Review,High,issue_updated
JR0035,2026-08-01 11:28:00,DEV004,DEVOPS-408,Task,In Progress,Medium,issue_assigned
JR0474,2026-08-01 14:25:00,DEV004,COGNI-723,Improvement,Testing,Low,status_changed
JR0313,2026-08-01 14:55:00,DEV010,DATA-913,Story,Done,Medium,issue_updated
JR0362,2026-08-01 15:39:00,DEV009,COGNI-887,Bug,To Do,Low,status_changed
JR0420,2026-08-01 16:20:00,DEV007,DATA-784,Story,Done,Low,issue_created
JR0047,2026-08-01 16:36:00,DEV008,DATA-240,Task,Testing,Medium,status_changed
JR0010,2026-08-01 16:58:00,DEV010,DEVOPS-762,Story,Code Review,Medium,comment_added
JR0078,2026-08-01 18:11:00,DEV005,COGNI-767,Improvement,To Do,High,issue_assigned
JR0070,2026-08-01 18:21:00,DEV001,COGNI-224,Improvement,Code Review,Critical,issue_updated
JR0107,2026-08-01 18:30:00,DEV008,DATA-630,Bug,Code Review,High,status_changed
JR0040,2026-08-01 19:03:00,DEV009,DEVOPS-671,Story,Testing,Low,issue_updated
JR0339,2026-08-01 19:50:00,DEV005,COGNI-648,Improvement,In Progress,Critical,issue_assigned
JR0186,2026-08-01 20:09:00,DEV005,DEVOPS-174,Bug,Done,High,status_changed
JR0064,2026-08-01 20:16:00,DEV003,DATA-844,Improvement,Code Review,Critical,issue_created
JR0202,2026-08-01 21:15:00,DEV010,DATA-907,Improvement,To Do,High,comment_added
JR0183,2026-08-01 22:00:00,DEV009,DATA-348,Bug,Testing,Critical,issue_updated
JR0344,2026-08-02 00:41:00,DEV002,DEVOPS-965,Task,Done,Medium,issue_created
JR0424,2026-08-02 02:56:00,DEV008,COGNI-527,Story,Done,High,issue_assigned
JR0206,2026-08-02 02:59:00,DEV004,DEVOPS-852,Bug,In Progress,Medium,issue_created
JR0019,2026-08-02 03:55:00,DEV004,DEVOPS-599,Task,Done,High,comment_added
JR0085,2026-08-02 04:12:00,DEV009,COGNI-405,Story,To Do,Critical,comment_added
JR0176,2026-08-02 04:51:00,DEV001,DEVOPS-254,Bug,Done,High,comment_added
JR0082,2026-08-02 04:59:00,DEV004,COGNI-394,Improvement,Done,High,status_changed
JR0076,2026-08-02 05:59:00,DEV007,COGNI-865,Task,Testing,Medium,issue_created
JR0123,2026-08-02 07:15:00,DEV001,DATA-806,Bug,Done,Low,issue_assigned
JR0384,2026-08-02 07:15:00,DEV010,COGNI-629,Improvement,Done,Medium,issue_created
JR0050,2026-08-02 07:57:00,DEV008,DATA-830,Task,Code Review,High,status_changed
JR0103,2026-08-02 08:27:00,DEV001,COGNI-588,Bug,Done,Critical,issue_updated
JR0401,2026-08-02 08:52:00,DEV008,DEVOPS-764,Bug,Done,Medium,status_changed
JR0330,2026-08-02 10:26:00,DEV007,COGNI-153,Task,Testing,High,status_changed
JR0410,2026-08-02 10:58:00,DEV004,COGNI-403,Bug,Done,Low,issue_assigned
JR0012,2026-08-02 11:12:00,DEV010,DATA-225,Bug,In Progress,Low,issue_updated
JR0038,2026-08-02 11:30:00,DEV002,DATA-492,Task,In Progress,Critical,issue_assigned
JR0467,2026-08-02 11:41:00,DEV007,DATA-287,Story,Testing,Critical,status_changed
JR0442,2026-08-02 11:43:00,DEV001,COGNI-168,Task,Done,Low,issue_assigned
JR0007,2026-08-02 11:52:00,DEV001,DEVOPS-936,Improvement,To Do,High,issue_assigned
JR0308,2026-08-02 12:21:00,DEV001,DEVOPS-422,Improvement,Testing,Low,issue_created
JR0335,2026-08-02 13:54:00,DEV006,DATA-992,Task,Testing,Low,comment_added
JR0436,2026-08-02 14:30:00,DEV006,COGNI-888,Improvement,In Progress,Critical,issue_assigned
JR0124,2026-08-02 14:43:00,DEV005,COGNI-623,Story,Code Review,High,status_changed
JR0417,2026-08-02 16:48:00,DEV001,COGNI-714,Bug,Code Review,Low,issue_assigned
JR0221,2026-08-02 17:50:00,DEV005,DATA-249,Bug,Done,Medium,issue_assigned
JR0296,2026-08-02 18:00:00,DEV009,DEVOPS-865,Bug,To Do,High,issue_assigned
JR0433,2026-08-02 18:08:00,DEV010,COGNI-859,Story,Testing,Low,issue_created
JR0039,2026-08-02 18:50:00,DEV004,DEVOPS-127,Story,To Do,Low,issue_created
JR0148,2026-08-02 18:52:00,DEV009,DEVOPS-142,Story,To Do,Medium,issue_created
JR0292,2026-08-02 19:53:00,DEV007,COGNI-715,Improvement,In Progress,High,issue_updated
JR0341,2026-08-02 21:39:00,DEV002,DEVOPS-252,Task,Code Review,Medium,issue_assigned
JR0121,2026-08-02 22:46:00,DEV001,DATA-840,Bug,Testing,Low,issue_created
