event_id,timestamp,developer_id,channel,notification_type
SL00501,2026-08-01 09:03:00,DEV408,data-team,message
SL02523,2026-08-01 09:09:00,DEV406,dev-team,deployment_alert
SL04159,2026-08-01 09:10:00,DEV224,frontend,ci_cd_alert
SL00306,2026-08-01 09:17:00,DEV248,backend,mention
SL02248,2026-08-01 09:18:00,DEV498,dev-team,message
SL04978,2026-08-01 09:24:00,DEV331,frontend,code_review_request
SL02834,2026-08-01 09:28:00,DEV366,project-cognistream,ci_cd_alert
SL03975,2026-08-01 09:31:00,DEV439,frontend,ci_cd_alert
SL04413,2026-08-01 09:36:00,DEV475,data-team,ci_cd_alert
SL00575,2026-08-01 09:43:00,DEV096,backend,message
SL02579,2026-08-01 09:43:00,DEV318,data-team,mention
SL01881,2026-08-01 09:50:00,DEV014,data-team,code_review_request
SL04705,2026-08-01 09:50:00,DEV289,project-cognistream,ci_cd_alert
SL04589,2026-08-01 09:59:00,DEV476,project-cognistream,mention
SL04455,2026-08-01 10:01:00,DEV084,dev-team,code_review_request
SL02035,2026-08-01 10:06:00,DEV260,engineering,ci_cd_alert
SL01651,2026-08-01 10:08:00,DEV313,data-team,code_review_request
SL01174,2026-08-01 10:11:00,DEV023,data-team,code_review_request
SL02675,2026-08-01 10:12:00,DEV369,backend,mention
SL00960,2026-08-01 10:13:00,DEV257,dev-team,deployment_alert
SL00680,2026-08-01 10:14:00,DEV366,backend,message
SL03098,2026-08-01 10:16:00,DEV466,data-team,deployment_alert
SL02517,2026-08-01 10:55:00,DEV163,backend,ci_cd_alert
SL00662,2026-08-01 11:04:00,DEV044,backend,ci_cd_alert
SL04609,2026-08-01 11:05:00,DEV223,dev-team,ci_cd_alert
SL02285,2026-08-01 11:14:00,DEV126,frontend,ci_cd_alert
SL02116,2026-08-01 11:26:00,DEV205,dev-team,deployment_alert
SL03089,2026-08-01 11:33:00,DEV209,engineering,mention
SL01572,2026-08-01 11:47:00,DEV141,data-team,message
SL03076,2026-08-01 11:56:00,DEV116,dev-team,code_review_request
SL04954,2026-08-01 12:02:00,DEV183,backend,mention
SL00342,2026-08-01 12:08:00,DEV476,backend,code_review_request
SL01559,2026-08-01 12:08:00,DEV259,data-team,code_review_request
SL04254,2026-08-01 12:08:00,DEV422,dev-team,message
SL02069,2026-08-01 12:24:00,DEV109,backend,code_review_request
SL02644,2026-08-01 12:26:00,DEV083,engineering,mention
SL02489,2026-08-01 12:37:00,DEV189,dev-team,code_review_request
SL02022,2026-08-01 12:42:00,DEV182,frontend,ci_cd_alert
SL04071,2026-08-01 12:44:00,DEV191,backend,code_review_request
SL01043,2026-08-01 12:47:00,DEV043,data-team,ci_cd_alert
SL03908,2026-08-01 12:53:00,DEV344,dev-team,message
SL03213,2026-08-01 12:55:00,DEV378,data-team,ci_cd_alert
SL03557,2026-08-01 12:55:00,DEV053,backend,mention
SL04157,2026-08-01 13:05:00,DEV108,frontend,code_review_request
SL00146,2026-08-01 13:10:00,DEV139,data-team,mention
SL01311,2026-08-01 13:18:00,DEV432,frontend,deployment_alert
SL01056,2026-08-01 13:22:00,DEV431,engineering,deployment_alert
SL00722,2026-08-01 13:23:00,DEV029,engineering,code_review_request
SL02648,2026-08-01 13:23:00,DEV078,project-cognistream,ci_cd_alert
SL02593,2026-08-01 13:24:00,DEV313,frontend,code_review_request
SL04519,2026-08-01 13:33:00,DEV238,frontend,ci_cd_alert
SL01914,2026-08-01 13:34:00,DEV193,project-cognistream,mention
SL04061,2026-08-01 13:41:00,DEV376,project-cognistream,ci_cd_alert
SL00087,2026-08-01 13:53:00,DEV346,data-team,code_review_request
SL02933,2026-08-01 13:53:00,DEV492,dev-team,deployment_alert
SL00148,2026-08-01 13:56:00,DEV290,frontend,mention
SL03425,2026-08-01 13:57:00,DEV375,data-team,mention
SL02004,2026-08-01 14:01:00,DEV097,frontend,ci_cd_alert
SL01972,2026-08-01 14:09:00,DEV301,dev-team,ci_cd_alert
SL01481,2026-08-01 14:11:00,DEV316,project-cognistream,message
SL02956,2026-08-01 14:20:00,DEV220,project-cognistream,code_review_request
